order_id,line_no,product_id,quantity,unit_price,discount_rate
O000036,2,P0023,2,21000,0
O000037,1,P0007,1,29000,0
O000038,1,P0022,3,18000,0.1
O000038,2,P0025,2,15000,0
O000038,3,P0003,1,89000,0.1
O000039,1,P0006,2,38000,0
O000039,2,P0021,3,49000,0
O000039,3,P0001,2,69000,0.15
O000040,1,P0003,2,89000,0
O000040,2,P0019,1,79000,0
O000040,3,P0012,3,39000,0.1
O000040,4,P0019,2,79000,0
O000041,1,P0021,1,49000,0.1
O000041,2,P0016,3,42000,0
O000041,3,P0012,1,39000,0
O000042,1,P0010,2,48000,0
O000043,1,P0001,2,69000,0.1
O000043,2,P0016,3,42000,0.15
O000044,1,P0006,1,38000,0
O000044,2,P0024,1,36000,0.05
O000045,1,P0002,1,54000,0
O000045,2,P0012,3,39000,0.15
O000045,3,P0008,3,32000,0.05
O000045,4,P0018,2,59000,0
O000046,1,P0007,3,29000,0.05
O000047,1,P0009,3,27000,0
O000047,2,P0024,3,36000,0.1
O000047,3,P0020,2,99000,0.1
O000047,4,P0013,2,28000,0.1
O000048,1,P0025,1,15000,0
O000048,2,P0004,1,329000,0
O000048,3,P0018,3,59000,0
O000048,4,P0019,1,79000,0
O000049,1,P0017,2,25000,0
O000049,2,P0016,1,42000,0
O000049,3,P0024,3,36000,0
O000049,4,P0013,1,28000,0
O000050,1,P0010,2,48000,0.05
O000050,2,P0019,1,79000,0
O000051,1,P0025,1,15000,0.1
O000052,1,P0010,3,48000,0
O000053,1,P0020,2,99000,0
O000054,1,P0007,2,29000,0
O000054,2,P0013,2,28000,0.1
O000054,3,P0005,2,45000,0
O000054,4,P0016,1,42000,0.1
O000055,1,P0014,1,16000,0.15
O000055,2,P0008,3,32000,0
O000056,1,P0011,3,24000,0
O000057,1,P0004,3,329000,0
O000057,2,P0017,3,25000,0.15
O000057,3,P0011,2,24000,0
O000058,1,P0008,1,32000,0.1
O000058,2,P0017,3,25000,0
O000059,1,P0024,2,36000,0
O000059,2,P0003,2,89000,0
O000059,3,P0023,3,21000,0
O000060,1,P0018,1,59000,0
O000060,2,P0024,3,36000,0
O000060,3,P0024,1,36000,0.15
O000060,4,P0022,2,18000,0
O000061,1,P0022,2,18000,0.15
O000062,1,P0011,1,24000,0
O000062,2,P0005,3,45000,0.15
O000062,3,P0016,1,42000,0.1
O000063,1,P0001,3,69000,0
O000063,2,P0017,2,25000,0.1
O000063,3,P0010,3,48000,0
O000063,4,P0019,3,79000,0.05
O000064,1,P0025,2,15000,0
O000065,1,P0015,2,22000,0
O000065,2,P0001,1,69000,0.1
O000065,3,P0024,3,36000,0.05
O000065,4,P0024,3,36000,0
O000066,1,P0017,3,25000,0
O000066,2,P0003,2,89000,0
O000066,3,P0018,1,59000,0
O000067,1,P0011,2,24000,0.1
O000067,2,P0022,2,18000,0
O000067,3,P0025,3,15000,0
O000068,1,P0011,3,24000,0
O000068,2,P0010,1,48000,0
O000068,3,P0011,3,24000,0
O000068,4,P0012,3,39000,0
O000069,1,P0024,3,36000,0
O000069,2,P0002,1,54000,0
O000069,3,P0012,1,39000,0.1
O000070,1,P0007,1,29000,0
O000070,2,P0018,2,59000,0.05
O000070,3,P0010,2,48000,0.15
O000070,4,P0002,3,54000,0.05
O000071,1,P0019,1,79000,0.05
O000071,2,P0019,3,79000,0.1
O000071,3,P0010,2,48000,0
O000071,4,P0010,3,48000,0
O000072,1,P0014,3,16000,0
O000073,1,P0007,1,29000,0.05
O000073,2,P0006,2,38000,0.15
O000073,3,P0006,2,38000,0
O000073,4,P0014,2,16000,0
O000074,1,P0025,1,15000,0.05
O000074,2,P0009,3,27000,0.1
O000074,3,P0003,3,89000,0
O000075,1,P0007,2,29000,0.05
O000076,1,P0001,2,69000,0
O000077,1,P0021,3,49000,0
O000078,1,P0019,2,79000,0
O000079,1,P0025,2,15000,0.05
O000079,2,P0008,2,32000,0.05
O000080,1,P0012,2,39000,0
O000080,2,P0011,1,24000,0.1
O000081,1,P0019,3,79000,0
O000081,2,P0014,3,16000,0.1
O000081,3,P0003,3,89000,0
O000081,4,P0006,3,38000,0
O000082,1,P0020,3,99000,0
O000083,1,P0010,1,48000,0
O000083,2,P0025,3,15000,0.05
O000083,3,P0003,3,89000,0.05
O000084,1,P0024,2,36000,0
O000084,2,P0006,2,38000,0
O000084,3,P0006,2,38000,0
O000084,4,P0001,3,69000,0.1
O000085,1,P0004,1,329000,1.2
O000085,2,P0016,1,42000,0.1
O000086,1,P0018,3,59000,0.1
O000087,1,P0019,2,79000,0
O000087,2,P0020,3,99000,0.1
O000087,3,P0006,1,38000,0
O000088,1,P0025,3,15000,0
O000088,2,P0010,3,48000,0
O000089,1,P0014,3,16000,0.1
O000089,2,P0016,3,42000,0.1
O000090,1,P0010,1,48000,0.1
O000090,2,P0006,3,38000,0.05
O000090,3,P0017,2,25000,0
O000091,1,P0024,2,36000,0.15
O000091,2,P0015,3,22000,0.15
O000091,3,P0024,1,36000,0
O000092,1,P0012,3,39000,0.15
O000092,2,P0008,1,32000,0.05
O000092,3,P0006,3,38000,0
O000092,4,P0011,2,24000,0
O000093,1,P0015,3,22000,0
O000093,2,P0019,2,79000,0
O000093,3,P0003,1,89000,0.05
O000094,1,P0022,2,18000,0.15
O000094,2,P0025,1,15000,0
O000094,3,P0022,1,18000,0
O000094,4,P0025,2,15000,0.1
O000095,1,P0020,3,99000,0
O000095,2,P0003,1,89000,0.15
O000095,3,P0021,2,49000,0.15
O000096,1,P0004,2,329000,0
O000097,1,P0005,2,45000,0
O000097,2,P0005,1,45000,0
O000097,3,P0005,2,45000,0.15
O000098,1,P0023,3,21000,0.05
O000099,1,P0018,1,59000,0.05
O000099,2,P0020,1,99000,0.1
O000099,3,P0008,2,32000,0.05
O000099,4,P0013,1,28000,0
O000100,1,P0002,1,54000,0
O000101,1,P0021,2,49000,0
O000102,1,P0011,2,24000,0
O000102,2,P0022,1,18000,0
O000102,3,P0015,3,22000,0.05
O000102,4,P0012,2,39000,0
O000103,1,P0019,1,79000,0
O000103,2,P0013,2,28000,0.1
O000103,3,P0020,2,99000,0
O000104,1,P0008,1,32000,0
O000105,1,P0015,3,22000,0
O000105,2,P0024,2,36000,0
O000105,3,P0019,2,79000,0.1
O000105,4,P0015,1,22000,0.05
O000106,1,P0021,2,49000,0
O000106,2,P0015,1,22000,0
O000106,3,P0017,2,25000,0.15
O000106,4,P0008,2,32000,0.1
O000107,1,P0024,2,36000,0.05
O000108,1,P0011,2,24000,0
O000108,2,P0009,3,27000,0.05
O000108,3,P0002,1,54000,0
O000108,4,P0019,3,79000,0.1
O000109,1,P0018,3,59000,0
O000109,2,P0019,3,79000,0
O000110,1,P0006,1,38000,0.05
O000111,1,P0002,3,54000,0.1
O000112,1,P0001,2,69000,0
O000112,2,P0010,1,48000,0
O000113,1,P0016,1,42000,0
O000113,2,P0008,2,32000,0
O000114,1,P0002,2,54000,0.1
O000114,2,P0011,1,24000,0
O000115,1,P0004,1,329000,0.05
O000116,1,P0014,3,16000,0.1
O000116,2,P0011,1,24000,0
O000116,3,P0021,2,49000,0.05
O000116,4,P0001,3,69000,0
O000117,1,P0016,1,42000,0.1
O000117,2,P0014,1,16000,0.1
O000118,1,P0001,3,69000,0.15
O000118,2,P0013,3,28000,0
O000118,3,P0001,3,69000,0.05
O000118,4,P0019,2,79000,0
O000119,1,P0025,1,15000,0
O000120,1,P0017,3,25000,0
O000120,2,P0002,1,54000,0
O000121,1,P0013,2,28000,0.15
O000121,2,P0014,2,16000,0
O000122,1,P0002,2,54000,0
O000123,1,P0010,3,48000,0
O000123,2,P0004,3,329000,0
O000123,3,P0010,2,48000,0
O000123,4,P0008,2,32000,0.05
O000124,1,P0002,3,54000,0.1
O000125,1,P0015,2,22000,0
O000126,1,P0022,1,18000,0
O000126,2,P0009,2,27000,0
O000127,1,P0008,1,32000,0
O000128,1,P0020,1,99000,0.1
O000128,2,P0001,3,69000,0
O000128,3,P0024,1,36000,0
O000129,1,P0013,3,28000,0.05
O000129,2,P0018,3,59000,0.1
O000129,3,P0005,3,45000,0
O000130,1,P0010,2,48000,0
O000131,1,P0010,1,48000,0
O000131,2,P0012,3,39000,0.05
O000131,3,P0013,3,28000,0
O000131,4,P0023,3,21000,0.15
O000132,1,P0014,1,16000,0
O000132,2,P0015,1,22000,0
O000132,3,P0023,2,21000,0
O000132,4,P0024,2,36000,0.05
O000133,1,P0015,1,22000,0
O000133,2,P0015,1,22000,0
O000134,1,P0013,2,28000,0
O000134,2,P0015,1,22000,0.1
O000134,3,P0023,3,21000,0
O000135,1,P0012,3,39000,0
O000135,2,P0010,1,48000,0.1
O000135,3,P0009,3,27000,0
O000135,4,P0016,2,42000,0
O000136,1,P0021,1,49000,0
O000137,1,P0010,3,48000,0.05
O000137,2,P0022,2,18000,0
O000137,3,P0002,3,54000,0.15
O000138,1,P0023,1,21000,0.1
O000138,2,P0011,1,24000,0.1
O000138,3,P0010,3,48000,0.05
O000139,1,P0014,2,16000,0.15
O000140,1,P0021,2,49000,0
O000140,2,P0021,2,49000,0
O000140,3,P0010,3,48000,0.15
O000140,4,P0005,3,45000,1.2
O000141,1,P0001,2,69000,0.1
O000141,2,P0012,3,39000,0
O000142,1,P0012,1,39000,0.15
O000142,2,P0003,3,89000,0.05
O000142,3,P0005,1,45000,0
O000142,4,P0004,3,329000,0.1
O000143,1,P0016,1,42000,0
O000144,1,P0021,1,49000,0
O000145,1,P0015,3,22000,0
O000145,2,P0016,1,42000,0
O000145,3,P0023,3,21000,0
O000146,1,P0020,1,99000,0
O000146,2,P0022,1,18000,0
O000146,3,P0007,1,29000,0.1
O000147,1,P0004,1,329000,0
O000147,2,P0001,2,69000,0.1
O000147,3,P0013,3,28000,0
O000148,1,P0008,3,32000,0.1
O000148,2,P0011,3,24000,0
O000148,3,P0024,3,36000,0.05
O000149,1,P0014,1,16000,0
O000149,2,P0025,2,15000,0.15
O000149,3,P0013,3,28000,0
O000149,4,P0001,3,69000,0.1
O000150,1,P0025,2,15000,0.15
O000150,2,P0019,1,79000,0
O000150,3,P0012,3,39000,0
O000150,4,P0004,3,329000,0.05
O000151,1,P0020,3,99000,0.15
O000152,1,P0003,2,89000,0.05
O000152,2,P0007,3,29000,0.1
O000153,1,P0003,3,89000,0.05
O000154,1,P0020,1,99000,0.1
O000154,2,P0022,2,18000,0.05
O000155,1,P0006,2,38000,0
O000155,2,P0008,1,32000,0
O000155,3,P0003,1,89000,0
O000155,4,P0004,1,329000,0.05
O000156,1,P0003,2,89000,0
O000156,2,P0018,2,59000,0.15
O000157,1,P0021,2,49000,0.1
O000158,1,P0011,3,24000,0
O000158,2,P0010,1,48000,0
O000158,3,P0005,2,45000,0.15
O000158,4,P0007,1,29000,0.15
O000159,1,P0008,2,32000,0
O000159,2,P0012,3,39000,0
O000160,1,P0009,1,27000,0
O000160,2,P0013,1,28000,0.15
O000160,3,P0006,1,38000,0.15
O000161,1,P0014,2,16000,0.1
O000161,2,P0008,3,32000,0
O000161,3,P0001,2,69000,0
O000162,1,P0017,2,25000,0.1
O000162,2,P0010,2,48000,0.1
O000162,3,P0006,1,38000,0
O000162,4,P0017,2,25000,0
O000163,1,P0017,1,25000,0
O000164,1,P0010,3,48000,0
O000164,2,P0023,1,21000,0
O000164,3,P0005,1,45000,0.05
O000164,4,P0019,2,79000,0.1
O000165,1,P0005,3,45000,0.1
O000165,2,P0023,1,21000,0
O000165,3,P0019,2,79000,0.1
O000166,1,P0018,1,59000,0.05
O000167,1,P0019,1,79000,0
O000168,1,P0006,1,38000,0.1
O000169,1,P0005,2,45000,0.05
O000169,2,P0021,2,49000,0
O000169,3,P0016,1,42000,0
O000169,4,P0001,1,69000,0.1
O000170,1,P0019,3,79000,0.15
O000170,2,P0003,1,89000,0
O000170,3,P0011,3,24000,0
O000171,1,P0004,2,329000,0.1
O000171,2,P0002,3,54000,0.05
O000172,1,P0018,1,59000,0.15
O000172,2,P0013,1,28000,0
O000172,3,P0006,2,38000,0.05
O000173,1,P0013,2,28000,0.05
O000173,2,P0002,2,54000,0.1
O000174,1,P0001,2,69000,0
O000174,2,P0023,2,21000,0.15
O000174,3,P0001,1,69000,0.1
O000175,1,P0001,3,69000,0
O000175,2,P0021,1,49000,0.1
O000175,3,P0002,2,54000,0.05
O000175,4,P0009,3,27000,0
O000176,1,P0010,1,48000,0
O000176,2,P0023,3,21000,0
O000177,1,P0005,2,45000,0
O000177,2,P0011,1,24000,0
O000177,3,P0007,2,29000,0.05
O000177,4,P0011,1,24000,0
O000178,1,P0016,1,42000,0
O000178,2,P0005,1,45000,0
O000179,1,P0017,2,25000,0
O000179,2,P0001,1,69000,0
O000180,1,P0006,2,38000,0
O000180,2,P0003,3,89000,0.05
O000180,3,P0007,1,29000,0.1
O000180,4,P0005,3,45000,0.1
O000181,1,P0019,1,79000,0
O000181,2,P0006,1,38000,0
O000181,3,P0008,2,32000,0
O000181,4,P0015,3,22000,0
O000182,1,P0021,1,49000,0.1
O000182,2,P0019,1,79000,0
O000182,3,P0001,3,69000,0
O000182,4,P0023,1,21000,0
O000183,1,P0017,1,25000,0.05
O000183,2,P0017,3,25000,0.1
O000183,3,P0018,1,59000,0
O000183,4,P0010,1,48000,0
O000184,1,P0012,2,39000,0
O000184,2,P0025,3,15000,0.1
O000185,1,P0019,3,79000,0
O000185,2,P0012,1,39000,0
O000186,1,P0020,1,99000,0
O000186,2,P0016,3,42000,0
O000186,3,P0023,1,21000,0.15
O000186,4,P0009,3,27000,0.1
O000187,1,P0025,2,15000,0
O000188,1,P0023,2,21000,0.15
O000188,2,P0010,3,48000,0
O000188,3,P0011,2,24000,0
O000189,1,P0025,1,15000,0.1
O000189,2,P0008,3,32000,0
O000190,1,P0007,3,29000,0
O000190,2,P0010,1,48000,0.05
O000191,1,P0025,3,15000,0.05
O000191,2,P0019,1,79000,0
O000192,1,P0002,3,54000,0.05
O000193,1,P0008,1,32000,0
O000193,2,P0019,2,79000,0
O000194,1,P0005,1,45000,0
O000194,2,P0008,1,32000,0
O000194,3,P0025,1,15000,0
O000195,1,P0024,2,36000,0
O000195,2,P0023,3,21000,0.05
O000195,3,P0024,3,36000,0
O000196,1,P0024,3,36000,0
O000197,1,P0013,3,28000,0.15
O000197,2,P0006,2,38000,0
O000198,1,P0007,3,29000,0
O000198,2,P0022,3,18000,0
O000198,3,P0004,1,329000,0
O000199,1,P0015,3,22000,0.05
O000199,2,P0005,2,45000,0
O000199,3,P0012,1,39000,0
O000199,4,P0022,2,18000,0
O000200,1,P0003,1,89000,0
O000200,2,P0023,3,21000,0
O000200,3,P0018,1,59000,1.2
O000200,4,P0001,1,69000,0.15
O000201,1,P0017,1,25000,0
O000201,2,P0019,2,79000,0.05
O000201,3,P0021,3,49000,0
O000201,4,P0011,3,24000,0
O000202,1,P0008,2,32000,0
O000203,1,P0015,2,22000,0.1
O000203,2,P0014,3,16000,0.1
O000204,1,P0009,1,27000,0
O000205,1,P0017,1,25000,0
O000206,1,P0018,3,59000,0
O000207,1,P0021,3,49000,0.05
O000207,2,P0022,1,18000,0
O000208,1,P0021,3,49000,0
O000209,1,P0017,3,25000,0
O000210,1,P0003,1,89000,0
O000210,2,P0013,2,28000,0
O000210,3,P0022,2,18000,0
O000211,1,P0018,2,59000,0.1
O000211,2,P0022,3,18000,0
O000212,1,P0016,1,42000,0
O000212,2,P0008,3,32000,0
O000212,3,P0008,3,32000,0
O000212,4,P0017,2,25000,0
O000213,1,P0002,3,54000,0.1
O000213,2,P0019,1,79000,0.1
O000213,3,P0009,1,27000,0.15
O000213,4,P0020,3,99000,0
O000214,1,P0024,2,36000,0
O000214,2,P0008,2,32000,0
O000215,1,P0018,2,59000,0.1
O000215,2,P0022,1,18000,0
O000216,1,P0019,1,79000,0
O000216,2,P0002,1,54000,0
O000216,3,P0012,1,39000,0.05
O000216,4,P0004,2,329000,0
O000217,1,P0015,1,22000,0.15
O000217,2,P0011,1,24000,0.1
O000217,3,P0018,1,59000,0
O000217,4,P0020,3,99000,0.1
O000218,1,P0014,3,16000,0
O000219,1,P0007,2,29000,0.15
O000220,1,P0022,1,18000,0.1
O000220,2,P0025,1,15000,0
O000220,3,P0017,1,25000,0.1
O000221,1,P0025,3,15000,0
O000221,2,P0004,2,329000,0
O000221,3,P0002,3,54000,0
O000221,4,P0022,3,18000,0
O000222,1,P0023,1,21000,0
O000222,2,P0008,3,32000,0
O000222,3,P0008,1,32000,0.05
O000222,4,P0017,2,25000,0
O000223,1,P0009,2,27000,0.1
O000224,1,P0011,1,24000,0.1
O000224,2,P0017,1,25000,0
O000224,3,P0024,3,36000,0.15
O000224,4,P0013,2,28000,0
O000225,1,P0011,3,24000,0
O000225,2,P0024,2,36000,0.1
O000225,3,P0008,2,32000,0.15
O000226,1,P0001,3,69000,0
O000227,1,P0010,3,48000,0
O000228,1,P0011,2,24000,0
O000228,2,P0021,2,49000,0.05
O000228,3,P0001,1,69000,0.1
O000229,1,P0023,3,21000,0.05
O000229,2,P0020,1,99000,0
O000230,1,P0017,2,25000,0
O000230,2,P0016,2,42000,0.15
O000231,1,P0024,3,36000,0.05
O000231,2,P0019,2,79000,0
O000232,1,P0005,1,45000,0.05
O000232,2,P0002,1,54000,0.05
O000232,3,P0011,1,24000,0
O000233,1,P0017,2,25000,0.05
O000233,2,P0009,1,27000,0
O000233,3,P0007,3,29000,0.1
O000233,4,P0014,3,16000,0.1
O000234,1,P0003,2,89000,0.15
O000235,1,P0022,2,18000,0.1
O000235,2,P0015,2,22000,0
O000236,1,P0004,1,329000,0.1
O000236,2,P0017,1,25000,0.15
O000236,3,P0006,2,38000,0
O000236,4,P0019,3,79000,0
O000237,1,P0021,3,49000,0
O000238,1,P0014,1,16000,0
O000238,2,P0013,3,28000,0
O000238,3,P0011,3,24000,0
O000239,1,P0024,3,36000,0.05
O000239,2,P0022,2,18000,0
O000240,1,P0025,1,15000,0
O000241,1,P0007,1,29000,0
O000241,2,P0004,2,329000,0
O000242,1,P0013,1,28000,0.15
O000242,2,P0011,1,24000,0.1
O000243,1,P0008,2,32000,0
O000243,2,P0008,2,32000,0.05
O000243,3,P0013,3,28000,0
O000243,4,P0005,2,45000,0.05
O000244,1,P0014,1,16000,0
O000245,1,P0001,3,69000,0.1
O000246,1,P0015,1,22000,0
O000246,2,P0007,2,29000,0.15
O000246,3,P0015,2,22000,0
O000246,4,P0012,3,39000,0
O000247,1,P0013,3,28000,0
O000247,2,P0001,1,69000,0
O000247,3,P0018,2,59000,0.1
O000248,1,P0019,3,79000,0
O000248,2,P0002,1,54000,0
O000248,3,P0008,3,32000,0.15
O000248,4,P0019,1,79000,0.1
O000249,1,P0017,3,25000,0.1
O000249,2,P0019,3,79000,0
O000249,3,P0015,2,22000,0
O000250,1,P0013,1,28000,0.1
O000250,2,P0015,1,22000,0.1
O000250,3,P0024,3,36000,0
O000250,4,P0018,3,59000,0
O000251,1,P0006,1,38000,0
O000252,1,P0023,3,21000,0
O000252,2,P0003,3,89000,0.05
O000253,1,P0004,2,329000,0
O000253,2,P0013,3,28000,0
O000253,3,P0011,1,24000,0
O000253,4,P0019,1,79000,0.1
O000254,1,P0012,1,39000,0.05
O000254,2,P0024,3,36000,0.1
O000255,1,P0015,1,22000,0.1
O000255,2,P0014,1,16000,0.05
O000255,3,P0006,1,38000,0.1
O000255,4,P0008,1,32000,0
O000256,1,P0021,2,49000,0
O000257,1,P0011,1,24000,0.15
O000257,2,P0023,1,21000,0.05
O000257,3,P0005,2,45000,0.1
O000257,4,P0021,3,49000,0
O000258,1,P0019,2,79000,0
O000258,2,P0023,1,21000,0
O000258,3,P0025,2,15000,0.05
O000258,4,P0009,2,27000,0
O000259,1,P0002,3,54000,0.05
O000259,2,P0017,2,25000,0
O000260,1,P0016,2,42000,0
O000260,2,P0007,2,29000,0.05
O000261,1,P0018,3,59000,0
O000261,2,P0007,3,29000,0.1
O000261,3,P0023,3,21000,0
O000261,4,P0022,3,18000,0.1
O000262,1,P0007,1,29000,0
O000263,1,P0025,1,15000,0.05
O000263,2,P0010,1,48000,0
O000263,3,P0005,2,45000,0.05
O000264,1,P0006,1,38000,0.1
O000264,2,P0023,1,21000,0
O000264,3,P0022,3,18000,0
O000264,4,P0019,2,79000,0
O000265,1,P0012,1,39000,0.05
O000265,2,P0017,1,25000,0
O000266,1,P0022,1,18000,0
O000266,2,P0002,3,54000,0
O000266,3,P0007,1,29000,0
O000266,4,P0020,2,99000,0.1
O000267,1,P0006,1,38000,0.1
O000267,2,P0018,1,59000,0
O000267,3,P0019,2,79000,0.1
O000268,1,P0014,1,16000,0
O000268,2,P0015,1,22000,0
O000268,3,P0002,1,54000,0
O000268,4,P0001,1,69000,0
O000269,1,P0019,3,79000,0
O000269,2,P0015,1,22000,0.1
O000269,3,P0008,3,32000,0
O000269,4,P0004,2,329000,0
O000270,1,P0006,1,38000,1.2
O000270,2,P0005,2,45000,0.1
O000270,3,P0010,3,48000,0
O000271,1,P0025,1,15000,0.1
O000271,2,P0023,2,21000,0
O000271,3,P0016,2,42000,0
O000272,1,P0002,3,54000,0.05
O000272,2,P0021,3,49000,0
O000272,3,P0018,1,59000,0.05
O000273,1,P0025,1,15000,0
O000274,1,P0022,2,18000,0
O000274,2,P0016,3,42000,0.15
O000274,3,P0022,3,18000,0.05
O000274,4,P0023,1,21000,0
O000275,1,P0021,1,49000,0
O000275,2,P0008,2,32000,0.15
O000276,1,P0009,1,27000,0
O000276,2,P0019,1,79000,0.1
O000276,3,P0020,3,99000,0.1
O000276,4,P0004,1,329000,0.1
O000277,1,P0015,3,22000,0.15
O000277,2,P0004,2,329000,0.15
O000278,1,P0022,1,18000,0
O000278,2,P0022,2,18000,0.05
O000278,3,P0017,3,25000,0
O000279,1,P0018,3,59000,0
O000279,2,P0007,2,29000,0.15
O000279,3,P0005,1,45000,0.1
O000279,4,P0021,2,49000,0
O000280,1,P0025,2,15000,0.1
O000280,2,P0012,1,39000,0
O000281,1,P0001,3,69000,0.15
O000281,2,P0014,3,16000,0
O000281,3,P0004,1,329000,0
O000281,4,P0023,2,21000,0.05
O000282,1,P0013,2,28000,0.1
O000282,2,P0024,3,36000,0.15
O000283,1,P0023,1,21000,0.05
O000284,1,P0006,2,38000,0
O000284,2,P0016,1,42000,0
O000284,3,P0013,3,28000,0
O000285,1,P0018,3,59000,0
O000285,2,P0009,3,27000,0
O000286,1,P0004,3,329000,0
O000286,2,P0002,1,54000,0.15
O000286,3,P0024,2,36000,0
O000287,1,P0021,2,49000,0
O000287,2,P0015,2,22000,0
O000287,3,P0024,2,36000,0
O000287,4,P0013,3,28000,0
O000288,1,P0001,1,69000,0.1
O000288,2,P0020,1,99000,0.1
O000288,3,P0020,2,99000,0
O000288,4,P0009,2,27000,0.05
O000289,1,P0006,2,38000,0
O000290,1,P0008,3,32000,0.1
O000290,2,P0016,2,42000,0.1
O000291,1,P0002,1,54000,0.05
O000291,2,P0016,2,42000,0
O000292,1,P0005,3,45000,0.1
O000292,2,P0002,3,54000,0.05
O000292,3,P0018,1,59000,0
O000292,4,P0024,3,36000,0
O000293,1,P0002,3,54000,0.05
O000293,2,P0016,3,42000,0.1
O000293,3,P0009,2,27000,0.1
O000294,1,P0018,1,59000,0
O000295,1,P0012,1,39000,0
O000296,1,P0002,1,54000,0
O000296,2,P0012,1,39000,0.05
O000296,3,P0003,2,89000,0
O000297,1,P0005,1,45000,0
O000297,2,P0017,2,25000,0
O000298,1,P0005,1,45000,0
O000298,2,P0002,2,54000,0.05
O000298,3,P0022,1,18000,0.05
O000298,4,P0001,1,69000,0.1
O000299,1,P0022,3,18000,0.05
O000299,2,P0002,1,54000,0.1
O000299,3,P0018,2,59000,0.1
O000299,4,P0004,3,329000,0.1
O000300,1,P0024,1,36000,0.15
O000301,1,P0024,1,36000,0
O000301,2,P0003,1,89000,0.05
O000301,3,P0016,2,42000,0.05
O000302,1,P0007,3,29000,0.1
O000303,1,P0019,1,79000,0
O000303,2,P0013,3,28000,0
O000303,3,P0022,1,18000,0.1
O000304,1,P0010,3,48000,0
O000304,2,P0004,3,329000,0.15
O000305,1,P0012,3,39000,0
O000305,2,P0018,2,59000,0
O000306,1,P0014,3,16000,0.1
O000307,1,P0022,2,18000,0.1
O000307,2,P0009,3,27000,0
O000307,3,P0017,1,25000,0.05
O000307,4,P0012,3,39000,0.1
O000308,1,P0015,2,22000,0
